p,beta,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
0.96,0.0,0.9984,0.9984000000000001,1.1102230246251565e-16,0.9984000000000001,1.1102230246251565e-16,16
0.97,0.0,0.9991,0.9991,0.0,0.9991,0.0,16
0.98,0.0,0.9996,0.9996,0.0,0.9995999999999999,1.1102230246251565e-16,16
0.99,0.0,0.9999,0.9999,0.0,0.9999,0.0,16
1.0,0.0,1.0,1.0,0.0,1.0,0.0,16
0.0,0.01,1.0,1.0,0.0,1.0,0.0,16
0.01,0.01,0.999702,0.999702,0.0,0.9997019999999999,1.1102230246251565e-16,16
0.02,0.01,0.999208,0.999208,0.0,0.9992079999999999,1.1102230246251565e-16,16
0.03,0.01,0.998518,0.998518,0.0,0.9985179999999999,1.1102230246251565e-16,16
0.04,0.01,0.997632,0.997632,0.0,0.9976320000000001,1.1102230246251565e-16,16
0.05,0.01,0.99655,0.99655,0.0,0.9965499999999999,1.1102230246251565e-16,16
0.06,0.01,0.9952719999999999,0.9952719999999999,0.0,0.9952719999999999,0.0,16
0.07,0.01,0.993798,0.993798,0.0,0.9937979999999998,1.1102230246251565e-16,16
0.08,0.01,0.992128,0.992128,0.0,0.9921280000000001,1.1102230246251565e-16,16
0.09,0.01,0.990262,0.990262,0.0,0.990262,0.0,16
0.1,0.01,0.9882,0.9882000000000001,1.1102230246251565e-16,0.9882,0.0,16
0.11,0.01,0.985942,0.985942,0.0,0.9859420000000001,1.1102230246251565e-16,16
0.12,0.01,0.9834879999999999,0.983488,1.1102230246251565e-16,0.9834879999999999,0.0,16
0.13,0.01,0.980838,0.9808380000000001,1.1102230246251565e-16,0.980838,0.0,16
0.14,0.01,0.977992,0.977992,0.0,0.9779919999999999,1.1102230246251565e-16,16
0.15,0.01,0.97495,0.97495,0.0,0.97495,0.0,16
0.16,0.01,0.9717119999999999,0.9717119999999999,0.0,0.9717119999999998,1.1102230246251565e-16,16
0.17,0.01,0.968278,0.968278,0.0,0.968278,0.0,16
0.18,0.01,0.9646480000000001,0.9646480000000001,0.0,0.9646480000000002,1.1102230246251565e-16,16
0.19,0.01,0.9608220000000001,0.9608220000000001,0.0,0.9608220000000001,0.0,16
0.2,0.01,0.9568000000000001,0.9568000000000001,0.0,0.9568000000000003,2.220446049250313e-16,16
0.21,0.01,0.952582,0.952582,0.0,0.952582,0.0,16
0.22,0.01,0.948168,0.948168,0.0,0.9481680000000001,1.1102230246251565e-16,16
0.23,0.01,0.943558,0.943558,0.0,0.9435580000000001,1.1102230246251565e-16,16
0.24,0.01,0.938752,0.938752,0.0,0.938752,0.0,16
0.25,0.01,0.93375,0.93375,0.0,0.9337499999999999,1.1102230246251565e-16,16
0.26,0.01,0.928552,0.928552,0.0,0.9285519999999999,1.1102230246251565e-16,16
0.27,0.01,0.9231579999999999,0.9231579999999999,0.0,0.9231579999999999,0.0,16
0.28,0.01,0.9175679999999999,0.9175679999999999,0.0,0.9175679999999999,0.0,16
0.29,0.01,0.911782,0.911782012142347,1.214234701674144e-08,0.9117819999999999,1.1102230246251565e-16,16
0.3,0.01,0.9057999999999999,0.9060414264579416,0.0002414264579416736,0.9057999999999999,0.0,16
0.31,0.01,0.8996219999999999,0.9005808693435071,0.000958869343507196,0.8996219999999998,1.1102230246251565e-16,16
0.32,0.01,0.8932479999999999,0.8954003407990438,0.002152340799043917,0.8932479999999998,1.1102230246251565e-16,16
0.33,0.01,0.8866779999999999,0.8904998408245515,0.0038218408245516144,0.886678,1.1102230246251565e-16,16
0.34,0.01,0.8799119999999999,0.88587936942003,0.005967369420030066,0.8799119999999999,0.0,16
0.35,0.01,0.87295,0.8815389265854796,0.008588926585479606,0.87295,0.0,16
0.36,0.01,0.865792,0.8774785123209002,0.011686512320900233,0.865792,0.0,16
0.37,0.01,0.858438,0.8736981266262918,0.015260126626291726,0.858438,0.0,16
0.38,0.01,0.8508880000000001,0.8701977695016544,0.019309769501654306,0.8508880000000001,0.0,16
0.39,0.01,0.843142,0.8669774409469879,0.023835440946987974,0.843142,0.0,16
0.4,0.01,0.8351999999999999,0.8640371409622924,0.028837140962292507,0.8351999999999999,0.0,16
0.41,0.01,0.8270620000000001,0.8613768695475681,0.03431486954756802,0.8270620000000002,1.1102230246251565e-16,16
0.42,0.01,0.8187280000000001,0.8589966267028146,0.0402686267028145,0.8187280000000001,0.0,16
0.43,0.01,0.810198,0.8568964124280322,0.04669841242803219,0.8101980000000001,1.1102230246251565e-16,16
0.44,0.01,0.8014720000000001,0.8550762267232207,0.05360422672322063,0.8014720000000001,0.0,16
0.45,0.01,0.7925500000000001,0.8535360695883802,0.060986069588380154,0.7925500000000001,0.0,16
0.46,0.01,0.783432,0.8522759410235108,0.06884394102351077,0.7834320000000001,1.1102230246251565e-16,16
0.47,0.01,0.774118,0.8512958410286122,0.07717784102861225,0.774118,0.0,16
0.48,0.01,0.764608,0.8505957696036848,0.08598776960368482,0.764608,0.0,16
0.49,0.01,0.754902,0.8501757267487282,0.09527372674872825,0.754902,0.0,16
0.5,0.01,0.75,0.8500357124637428,0.10003571246374277,0.75,0.0,16
0.51,0.01,0.754902,0.8501757267487282,0.09527372674872825,0.754902,0.0,16
0.52,0.01,0.764608,0.8505957696036848,0.08598776960368482,0.764608,0.0,16
0.53,0.01,0.774118,0.8512958410286122,0.07717784102861225,0.7741180000000001,1.1102230246251565e-16,16
0.54,0.01,0.783432,0.8522759410235108,0.06884394102351077,0.783432,0.0,16
0.55,0.01,0.7925500000000001,0.8535360695883801,0.06098606958838004,0.7925500000000001,0.0,16
0.56,0.01,0.801472,0.8550762267232206,0.05360422672322063,0.801472,0.0,16
0.57,0.01,0.810198,0.856896412428032,0.04669841242803208,0.810198,0.0,16
0.58,0.01,0.8187279999999999,0.8589966267028146,0.040268626702814725,0.818728,1.1102230246251565e-16,16
0.59,0.01,0.827062,0.8613768695475681,0.03431486954756813,0.827062,0.0,16
0.6,0.01,0.8351999999999999,0.8640371409622924,0.028837140962292507,0.8351999999999999,0.0,16
0.61,0.01,0.843142,0.8669774409469879,0.023835440946987974,0.8431420000000001,1.1102230246251565e-16,16
0.62,0.01,0.8508880000000001,0.8701977695016543,0.019309769501654195,0.8508880000000001,0.0,16
0.63,0.01,0.858438,0.8736981266262918,0.015260126626291726,0.858438,0.0,16
0.64,0.01,0.865792,0.8774785123209002,0.011686512320900233,0.865792,0.0,16
0.65,0.01,0.87295,0.8815389265854796,0.008588926585479606,0.87295,0.0,16
0.66,0.01,0.879912,0.88587936942003,0.005967369420029955,0.879912,0.0,16
0.67,0.01,0.8866780000000001,0.8904998408245515,0.0038218408245513924,0.8866780000000001,0.0,16
0.68,0.01,0.893248,0.8954003407990438,0.002152340799043806,0.893248,0.0,16
0.69,0.01,0.8996219999999999,0.9005808693435071,0.000958869343507196,0.8996219999999999,0.0,16
0.7,0.01,0.9057999999999999,0.9060414264579416,0.0002414264579416736,0.9057999999999999,0.0,16
0.71,0.01,0.911782,0.911782012142347,1.214234701674144e-08,0.9117820000000001,1.1102230246251565e-16,16
0.72,0.01,0.9175679999999999,0.9175679999999999,0.0,0.9175679999999999,0.0,16
0.73,0.01,0.9231579999999999,0.9231579999999999,0.0,0.9231579999999999,0.0,16
0.74,0.01,0.928552,0.928552,0.0,0.928552,0.0,16
0.75,0.01,0.93375,0.9337500000000001,1.1102230246251565e-16,0.93375,0.0,16
0.76,0.01,0.938752,0.938752,0.0,0.938752,0.0,16
0.77,0.01,0.943558,0.943558,0.0,0.9435579999999999,1.1102230246251565e-16,16
0.78,0.01,0.948168,0.948168,0.0,0.948168,0.0,16
0.79,0.01,0.952582,0.952582,0.0,0.952582,0.0,16
0.8,0.01,0.9568000000000001,0.9568000000000001,0.0,0.9568000000000001,0.0,16
0.81,0.01,0.9608220000000001,0.9608220000000001,0.0,0.9608220000000001,0.0,16
0.82,0.01,0.964648,0.964648,0.0,0.964648,0.0,16
0.83,0.01,0.968278,0.968278,0.0,0.968278,0.0,16
0.84,0.01,0.9717119999999999,0.971712,1.1102230246251565e-16,0.9717119999999999,0.0,16
0.85,0.01,0.97495,0.97495,0.0,0.97495,0.0,16
0.86,0.01,0.977992,0.977992,0.0,0.977992,0.0,16
0.87,0.01,0.980838,0.9808380000000001,1.1102230246251565e-16,0.980838,0.0,16
0.88,0.01,0.9834879999999999,0.983488,1.1102230246251565e-16,0.9834879999999999,0.0,16
0.89,0.01,0.985942,0.985942,0.0,0.985942,0.0,16
0.9,0.01,0.9882,0.9882000000000001,1.1102230246251565e-16,0.9882,0.0,16
0.91,0.01,0.990262,0.990262,0.0,0.990262,0.0,16
0.92,0.01,0.992128,0.992128,0.0,0.992128,0.0,16
0.93,0.01,0.993798,0.9937980000000001,1.1102230246251565e-16,0.9937980000000001,1.1102230246251565e-16,16
0.94,0.01,0.9952719999999999,0.995272,1.1102230246251565e-16,0.995272,1.1102230246251565e-16,16
