epsilon,alpha,t_env_seconds,classical_bias,quantum_bias,classical_win_probability,noisy_quantum_win_probability,noisy_gap,epsilon_threshold,required_trials,expected_quantum_wins,certification_p_value,previous_round_p_value,required_rate_hz,required_rate_khz,reference_hardware_rate_hz,reference_hardware_rate_pass
0.004,0.05,0.1,0.5,0.7071067811865475,0.75,0.8521391770309006,0.10213917703090064,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.004,0.05,10.0,0.5,0.7071067811865475,0.75,0.8521391770309006,0.10213917703090064,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.005,0.05,0.001,0.5,0.7071067811865475,0.75,0.8517856236403074,0.10178562364030735,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.005,0.05,0.1,0.5,0.7071067811865475,0.75,0.8517856236403074,0.10178562364030735,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.005,0.05,10.0,0.5,0.7071067811865475,0.75,0.8517856236403074,0.10178562364030735,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.006,0.05,0.001,0.5,0.7071067811865475,0.75,0.851432070249714,0.10143207024971407,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.006,0.05,0.1,0.5,0.7071067811865475,0.75,0.851432070249714,0.10143207024971407,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.006,0.05,10.0,0.5,0.7071067811865475,0.75,0.851432070249714,0.10143207024971407,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.007,0.05,0.001,0.5,0.7071067811865475,0.75,0.8510785168591208,0.10107851685912084,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.007,0.05,0.1,0.5,0.7071067811865475,0.75,0.8510785168591208,0.10107851685912084,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.007,0.05,10.0,0.5,0.7071067811865475,0.75,0.8510785168591208,0.10107851685912084,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.008,0.05,0.001,0.5,0.7071067811865475,0.75,0.8507249634685276,0.10072496346852755,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
