case_id,scenario_id,distance_km,weighted_cost,changed_lever_count,state_infidelity,measurement_infidelity,detector_efficiency,optics_efficiency,tau_rot,tau_meas,tau_dec,tau_link,tau_occ,memory_lifetime,minimum_memory_qubits,memory_depth_sufficient,entanglement_success_probability,gamma_heg,r_heg,epsilon,epsilon_threshold,tau_mem_threshold,n_req,expected_score_threshold_at_n_req,p_value_or_bound_at_n_req,r_req,latency_constrained_regime,theoretical_advantage,memory_model_domain,memory_lifetime_criterion,fidelity_criterion,statistical_certification,rate_criterion,decision_criterion,network_model_domain,overall_operational_quantum_advantage,certification_search_limit_exceeded,constraint_violations,design_state_infidelity_scale,design_measurement_infidelity_scale,design_detector_headroom_fraction,design_optics_headroom_fraction,design_decision_time_scale,design_memory_lifetime_multiplier,design_n_memory_qubits,design_n_channels,cost_state_fidelity,cost_measurement_fidelity,cost_detector_efficiency,cost_optics_efficiency,cost_decision_speed,cost_memory_lifetime,cost_memory_count,cost_channel_count
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,1.623336587072643,3,0.01,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,1164882.7372559921,3945.8746274387518,0.021331323188634843,0.07152330911474081,0.01873186008272667,2856,2302,0.04920192757135214,2856.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,0.0,0.0,1.0,1.0,419,2,0.6020599913279623,0.0,0.0,0.0,0.0,0.0,1.0,0.02127659574468085
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,1.623336587072643,3,0.01,0.002,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0026463732821281165,695037.4327303056,3678.6569841127975,0.021331323188634843,0.07152330911474081,0.01873186008272667,2856,2302,0.04920192757135214,2856.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,0.0,1.0,1.0,1.0,250,2,0.6020599913279623,0.0,0.0,1.0,0.0,0.0,0.0,0.02127659574468085
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,2.6020599913279625,3,0.01,0.002,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0026463732821281165,1164882.7372559921,3082.7145526865243,0.021331323188634843,0.07152330911474081,0.01873186008272667,2856,2302,0.04920192757135214,2856.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,0.0,1.0,1.0,1.0,419,1,0.6020599913279623,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,1.623336587072643,3,0.01,0.002,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0020909616056320923,695037.4327303056,2906.5931726323342,0.021331323188634843,0.07152330911474081,0.01873186008272667,2856,2302,0.04920192757135214,2856.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,1.0,0.0,1.0,1.0,250,2,0.6020599913279623,0.0,1.0,0.0,0.0,0.0,0.0,0.02127659574468085
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,1.3648597828980238,3,0.02,0.001,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,695037.4327303056,4708.680939664382,0.03067703404853661,0.07152330911474081,0.02313951442859791,4344,3488,0.04993088497125966,4344.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,0.5,0.0,0.0,1.0,1.0,250,4,0.30102999566398114,1.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,2.343583187153343,4,0.02,0.001,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0020909616056320923,695037.4327303056,4359.889758948501,0.03067703404853661,0.07152330911474081,0.02313951442859791,4344,3488,0.04993088497125966,4344.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,0.5,1.0,0.0,1.0,1.0,250,3,0.30102999566398114,1.0,1.0,0.0,0.0,0.0,0.0,0.0425531914893617
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,3.322306591408662,5,0.02,0.001,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0020909616056320923,1164882.7372559921,4871.450157331792,0.03067703404853661,0.07152330911474081,0.02313951442859791,4344,3488,0.04993088497125966,4344.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,0.5,1.0,0.0,1.0,1.0,419,2,0.30102999566398114,1.0,1.0,0.0,0.0,0.0,1.0,0.02127659574468085
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,3.322306591408662,5,0.02,0.001,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0032671275088001434,695037.4327303056,4541.551832238021,0.03067703404853661,0.07152330911474081,0.02313951442859791,4344,3488,0.04993088497125966,4344.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,0.5,1.0,1.0,1.0,1.0,250,2,0.30102999566398114,1.0,1.0,1.0,0.0,0.0,0.0,0.02127659574468085
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,0.38613637864270456,2,0.02,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,695037.4327303056,5885.851174580477,0.034558203188634895,0.07152330911474081,0.025477240506478743,5306,4254,0.049426498102628204,5306.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,1.0,0.0,0.0,1.0,1.0,250,5,0.30102999566398114,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,1.3435831871533428,3,0.02,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,1164882.7372559921,5918.811941158127,0.034558203188634895,0.07152330911474081,0.025477240506478743,5306,4254,0.049426498102628204,5306.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,1.0,0.0,0.0,1.0,1.0,419,3,0.30102999566398114,0.0,0.0,0.0,0.0,0.0,1.0,0.0425531914893617
