utility_family,beta1,beta2,epsilon,classical_bias,quantum_bias,classical_value,ideal_quantum_value,ideal_gap,noisy_quantum_value,noisy_gap,epsilon_threshold
symmetric,0.0,0.0,0.108,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8153696244092001,0.06536962440920019,0.2928932188134524
symmetric,0.0,0.0,0.109,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.815016071018607,0.0650160710186069,0.2928932188134524
symmetric,0.0,0.0,0.11,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8146625176280136,0.06466251762801362,0.2928932188134524
symmetric,0.0,0.0,0.111,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8143089642374204,0.06430896423742033,0.2928932188134524
symmetric,0.0,0.0,0.112,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8139554108468271,0.0639554108468271,0.2928932188134524
symmetric,0.0,0.0,0.113,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8136018574562338,0.06360185745623381,0.2928932188134524
symmetric,0.0,0.0,0.114,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8132483040656405,0.06324830406564053,0.2928932188134524
symmetric,0.0,0.0,0.115,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8128947506750472,0.06289475067504724,0.2928932188134524
symmetric,0.0,0.0,0.116,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.812541197284454,0.06254119728445395,0.2928932188134524
symmetric,0.0,0.0,0.117,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8121876438938607,0.06218764389386072,0.2928932188134524
symmetric,0.0,0.0,0.118,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8118340905032675,0.061834090503267436,0.2928932188134524
symmetric,0.0,0.0,0.119,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8114805371126741,0.06148053711267415,0.2928932188134524
symmetric,0.0,0.0,0.12,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8111269837220809,0.06112698372208086,0.2928932188134524
symmetric,0.0,0.0,0.121,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8107734303314876,0.06077343033148763,0.2928932188134524
symmetric,0.0,0.0,0.122,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8104198769408943,0.060419876940894346,0.2928932188134524
symmetric,0.0,0.0,0.123,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8100663235503011,0.06006632355030106,0.2928932188134524
symmetric,0.0,0.0,0.124,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8097127701597078,0.05971277015970777,0.2928932188134524
symmetric,0.0,0.0,0.125,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8093592167691145,0.05935921676911449,0.2928932188134524
symmetric,0.0,0.0,0.126,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8090056633785212,0.059005663378521256,0.2928932188134524
symmetric,0.0,0.0,0.127,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.808652109987928,0.05865210998792797,0.2928932188134524
symmetric,0.0,0.0,0.128,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8082985565973346,0.05829855659733468,0.2928932188134524
symmetric,0.0,0.0,0.129,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8079450032067415,0.0579450032067414,0.2928932188134524
symmetric,0.0,0.0,0.13,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8075914498161482,0.057591449816148166,0.2928932188134524
symmetric,0.0,0.0,0.131,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8072378964255549,0.05723789642555488,0.2928932188134524
symmetric,0.0,0.0,0.132,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8068843430349616,0.05688434303496159,0.2928932188134524
symmetric,0.0,0.0,0.133,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8065307896443683,0.05653078964436831,0.2928932188134524
symmetric,0.0,0.0,0.134,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8061772362537751,0.056177236253775076,0.2928932188134524
symmetric,0.0,0.0,0.135,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8058236828631817,0.05582368286318179,0.2928932188134524
symmetric,0.0,0.0,0.136,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8054701294725886,0.0554701294725885,0.2928932188134524
symmetric,0.0,0.0,0.137,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8051165760819952,0.05511657608199522,0.2928932188134524
