probability_one,beta,classical_bias,quantum_bias,classical_value,quantum_value,gap,phase_offset,phase_step_1,phase_step_2,phase_step_3
0.26,0.0,0.664704,0.7519472950502346,0.832352,0.8759736475251173,0.043621647525117324,-0.3725129982276664,1.12734560805142,1.12734560805142,1.12734560805142
0.27,0.0,0.6413319999999999,0.7454825869691499,0.8206659999999999,0.872741293484575,0.05207529348457507,-0.3974156618845431,1.1670897928858432,1.1670897928858432,1.1670897928858432
0.28,0.0,0.617408,0.7396976556033498,0.808704,0.8698488278016749,0.06114482780167496,-0.42200652423776286,1.203822940760471,1.203822940760471,1.203822940760471
0.29,0.0,0.5929559999999999,0.7345520603814475,0.796478,0.8672760301907237,0.07079803019072373,-0.4463067809121989,1.2379273154868295,1.2379273154868295,1.2379273154868295
0.3,0.0,0.5799999999999998,0.7300053360391583,0.7899999999999999,0.8650026680195791,0.07500266801957922,0.470319031277371,5.013481054972772,5.013481054972772,5.013481054972772
0.31,0.0,0.5721999999999999,0.7260170528022599,0.7861,0.86300852640113,0.07690852640113,-0.49403000172161626,1.2993926417329609,1.2993926417329609,1.2993926417329609
0.32,0.0,0.5648,0.7225468894040087,0.7824,0.8612734447020043,0.0788734447020043,-0.5174122827501139,1.3271820227819051,1.3271820227819051,1.3271820227819051
0.33,0.0,0.5577999999999999,0.7195547207286267,0.7788999999999999,0.8597773603643133,0.08087736036431337,0.5404254363631622,4.9299632202392285,4.9299632202392285,4.9299632202392285
0.34,0.0,0.5511999999999999,0.7170007219425154,0.7756,0.8585003609712577,0.08290036097125775,-0.5630167061931309,1.3776297388599967,1.3776297388599967,1.3776297388599967
0.35,0.0,0.545,0.7148454909774636,0.7725,0.8574227454887318,0.0849227454887318,-0.5851214929397223,1.4004944623596223,1.4004944623596223,1.4004944623596223
0.36,0.0,0.5392,0.7130501911360588,0.7696000000000001,0.8565250955680295,0.08692509556802941,0.6066637176129268,4.861302803945254,4.861302803945254,4.861302803945254
0.37,0.0,0.5338,0.7115767153645731,0.7669,0.8557883576822866,0.08888835768228653,-0.6275561718657425,1.441840228103739,1.441840228103739,1.441840228103739
0.38,0.0,0.5287999999999999,0.7103878733453021,0.7644,0.8551939366726511,0.09079393667265112,0.6477009405733429,4.822788387246911,4.822788387246911,4.822788387246911
0.39,0.0,0.5242,0.7094476019613016,0.7621,0.8547238009806508,0.09262380098065082,-0.6669899717973258,1.4775672040100272,1.4775672040100272,1.4775672040100272
0.4,0.0,0.52,0.7087211988497565,0.76,0.8543605994248782,0.09436059942487818,-0.6853058597594988,1.4933532503330673,1.4933532503330673,1.4933532503330673
0.41,0.0,0.5162000000000001,0.7081755776670021,0.7581,0.854087788833501,0.09598778883350101,-0.7025228946295637,1.507746861304552,1.507746861304552,1.507746861304552
0.42,0.0,0.5128,0.7077795423424287,0.7564,0.8538897711712143,0.09748977117121438,-0.7185084166164436,1.5207315220394275,1.5207315220394275,1.5207315220394275
0.43,0.0,0.5098,0.7075040760374103,0.7549,0.8537520380187051,0.09885203801870512,-0.7331244895804179,1.5322844609893884,1.5322844609893884,1.5322844609893884
0.44,0.0,0.5072000000000001,0.7073226388291901,0.7536,0.853661319414595,0.10006131941459495,0.746229880695876,4.74080656797904,4.74080656797904,4.74080656797904
0.45,0.0,0.5050000000000001,0.7072114664368436,0.7525000000000001,0.8536057332184218,0.10110573321842176,-0.7576822984857622,1.5509853569504748,1.5509853569504748,1.5509853569504748
0.46,0.0,0.5032000000000001,0.7071498607715457,0.7516,0.8535749303857729,0.10197493038577288,0.7673408043220812,4.725109969396817,4.725109969396817,4.725109969396817
0.47,0.0,0.5018,0.7071204619334805,0.7509,0.8535602309667403,0.10266023096674026,0.7750682763559437,4.719563582872759,4.719563582872759,4.719563582872759
