nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.44,0.0,0.8064,0.8586445594178169,0.8550581138236387,0.048658113823638716,0.048658113823638716,True
0.01,0.45,0.0,0.7975000000000001,0.8570889244992065,0.8535180352542144,0.05601803525421434,0.05601803525421434,True
0.01,0.46,0.0,0.7884,0.8558161322930707,0.85225797097014,0.06385797097014001,0.06385797097014001,True
0.01,0.47,0.0,0.7791,0.8548261827994096,0.8512779209714155,0.07217792097141551,0.07217792097141551,True
0.01,0.48,0.0,0.7696000000000001,0.854119076018223,0.8505778852580408,0.08097788525804073,0.08097788525804073,True
0.01,0.49,0.0,0.7599,0.8536948119495111,0.850157863830016,0.090257863830016,0.090257863830016,True
0.01,0.5,0.0,0.75,0.8535533905932737,0.850017856687341,0.10001785668734098,0.10001785668734098,True
0.01,0.51,0.0,0.7599,0.8536948119495111,0.850157863830016,0.090257863830016,0.090257863830016,True
0.01,0.52,0.0,0.7696000000000001,0.854119076018223,0.8505778852580408,0.08097788525804073,0.08097788525804073,True
0.01,0.53,0.0,0.7791,0.8548261827994096,0.8512779209714155,0.07217792097141551,0.07217792097141551,True
0.01,0.54,0.0,0.7884,0.8558161322930707,0.85225797097014,0.06385797097014001,0.06385797097014001,True
0.01,0.55,0.0,0.7975000000000001,0.8570889244992065,0.8535180352542144,0.05601803525421434,0.05601803525421434,True
0.01,0.56,0.0,0.8064,0.8586445594178169,0.8550581138236387,0.048658113823638716,0.048658113823638716,True
0.01,0.57,0.0,0.8150999999999999,0.8604830370489019,0.856878206678413,0.04177820667841303,0.04177820667841303,True
0.01,0.58,0.0,0.8236,0.8626043573924616,0.858978313818537,0.035378313818536955,0.035378313818536955,True
0.01,0.59,0.0,0.8319,0.8650085204484959,0.8613584352440109,0.029458435244010928,0.029458435244010928,True
0.01,0.6,0.0,0.84,0.8676955262170047,0.8640185709548347,0.024018570954834728,0.024018570954834728,True
0.01,0.61,0.0,0.8479,0.8706653746979882,0.8669587209510083,0.019058720951008357,0.019058720951008357,True
0.01,0.62,0.0,0.8556,0.8739180658914463,0.8701788852325318,0.014578885232531813,0.014578885232531813,True
0.01,0.63,0.0,0.8631,0.8774535997973791,0.8736790637994053,0.01057906379940532,0.01057906379940532,True
0.01,0.64,0.0,0.8704000000000001,0.8812719764157864,0.8774592566516285,0.007059256651628432,0.007059256651628432,True
0.01,0.65,0.0,0.8775,0.8853731957466684,0.8815194637892018,0.004019463789201816,0.004019463789201816,True
0.01,0.66,0.0,0.8844000000000001,0.889757257790025,0.8858596852121248,0.001459685212124695,0.001459685212124695,True
0.01,0.67,0.0,0.8911,0.8944241625458562,0.8904799209203976,-0.0006200790796023758,0.0,False
0.01,0.68,0.0,0.8976000000000001,0.8993739100141621,0.8953801709140204,-0.002219829085979619,0.0,False
0.01,0.69,0.0,0.9038999999999999,0.9046065001949425,0.900560435192993,-0.003339564807006923,0.0,False
0.01,0.7,0.0,0.9099999999999999,0.9101219330881976,0.9060207137573155,-0.003979286242684399,0.0,False
0.01,0.71,0.0,0.9158999999999999,0.9159,0.911741,-0.004158999999999913,0.0,False
0.01,0.72,0.0,0.9216,0.9216,0.917384,-0.0042159999999999975,0.0,False
0.01,0.73,0.0,0.9271,0.9271,0.922829,-0.004271000000000025,0.0,False
0.01,0.74,0.0,0.9324,0.9324,0.928076,-0.0043239999999999945,0.0,False
0.01,0.75,0.0,0.9375,0.9375,0.933125,-0.004375000000000018,0.0,False
0.01,0.76,0.0,0.9424,0.9424,0.937976,-0.0044239999999999835,0.0,False
0.01,0.77,0.0,0.9471,0.9471,0.942629,-0.004471000000000003,0.0,False
0.01,0.78,0.0,0.9516,0.9516,0.947084,-0.0045159999999999645,0.0,False
0.01,0.79,0.0,0.9559,0.9559000000000001,0.9513410000000001,-0.004558999999999869,0.0,False
0.01,0.8,0.0,0.9600000000000001,0.9600000000000001,0.9554,-0.0046000000000000485,0.0,False
0.01,0.81,0.0,0.9639,0.9639,0.959261,-0.004638999999999949,0.0,False
0.01,0.82,0.0,0.9676,0.9676,0.962924,-0.0046760000000000135,0.0,False
0.01,0.83,0.0,0.9711000000000001,0.9711,0.9663889999999999,-0.004711000000000132,0.0,False
0.01,0.84,0.0,0.9743999999999999,0.9743999999999999,0.969656,-0.0047439999999999705,0.0,False
0.01,0.85,0.0,0.9775,0.9774999999999999,0.972725,-0.004775000000000085,0.0,False
0.01,0.86,0.0,0.9803999999999999,0.9803999999999999,0.9755959999999999,-0.0048040000000000305,0.0,False
0.01,0.87,0.0,0.9831000000000001,0.9831000000000001,0.978269,-0.00483100000000003,0.0,False
0.01,0.88,0.0,0.9856,0.9856,0.9807440000000001,-0.0048559999999999715,0.0,False
0.01,0.89,0.0,0.9879,0.9879,0.983021,-0.004878999999999967,0.0,False
0.01,0.9,0.0,0.99,0.99,0.9851,-0.0049000000000000155,0.0,False
0.01,0.91,0.0,0.9919,0.9919,0.986981,-0.004919000000000007,0.0,False
0.01,0.92,0.0,0.9936,0.9936,0.988664,-0.0049360000000000515,0.0,False
0.01,0.93,0.0,0.9951000000000001,0.9951000000000001,0.9901490000000001,-0.004951000000000039,0.0,False
0.01,0.94,0.0,0.9964,0.9964000000000001,0.9914360000000001,-0.004963999999999857,0.0,False
0.01,0.95,0.0,0.9975,0.9975,0.9925250000000001,-0.004974999999999952,0.0,False
0.01,0.96,0.0,0.9984,0.9984000000000001,0.9934160000000001,-0.004983999999999877,0.0,False
0.01,0.97,0.0,0.9991,0.9991,0.994109,-0.004990999999999968,0.0,False
0.01,0.98,0.0,0.9996,0.9996,0.994604,-0.0049960000000000004,0.0,False
0.01,0.99,0.0,0.9999,0.9999,0.994901,-0.004998999999999976,0.0,False
0.01,1.0,0.0,1.0,1.0,0.995,-0.0050000000000000044,0.0,False
0.01,0.0,0.01,1.0,1.0,0.995,-0.0050000000000000044,0.0,False
0.01,0.01,0.01,0.999702,0.999702,0.99470498,-0.004997020000000019,0.0,False
0.01,0.02,0.01,0.999208,0.999208,0.99421592,-0.004992079999999954,0.0,False
0.01,0.03,0.01,0.998518,0.998518,0.99353282,-0.0049851800000000335,0.0,False
0.01,0.04,0.01,0.997632,0.997632,0.9926556799999999,-0.004976320000000034,0.0,False
0.01,0.05,0.01,0.99655,0.99655,0.9915845000000001,-0.004965499999999956,0.0,False
0.01,0.06,0.01,0.9952719999999999,0.9952719999999999,0.9903192799999999,-0.0049527200000000215,0.0,False
0.01,0.07,0.01,0.993798,0.993798,0.98886002,-0.0049379800000000085,0.0,False
