nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.61,0.01,0.843142,0.8669774409469879,0.863307666537518,0.020165666537518057,0.020165666537518057,True
0.01,0.62,0.01,0.8508880000000001,0.8701977695016543,0.8664957918066377,0.015607791806637628,0.015607791806637628,True
0.01,0.63,0.01,0.858438,0.8736981266262918,0.8699611453600289,0.011523145360028852,0.011523145360028852,True
0.01,0.64,0.01,0.865792,0.8774785123209002,0.8737037271976912,0.007911727197691176,0.007911727197691176,True
0.01,0.65,0.01,0.87295,0.8815389265854796,0.8777235373196248,0.004773537319624821,0.004773537319624821,True
0.01,0.66,0.01,0.879912,0.88587936942003,0.8820205757258297,0.0021085757258296756,0.0021085757258296756,True
0.01,0.67,0.01,0.8866780000000001,0.8904998408245515,0.8865948424163059,-8.315758369414894e-05,0.0,False
0.01,0.68,0.01,0.893248,0.8954003407990438,0.8914463373910534,-0.0018016626089466525,0.0,False
0.01,0.69,0.01,0.8996219999999999,0.9005808693435071,0.8965750606500721,-0.003046939349927835,0.0,False
0.01,0.7,0.01,0.9057999999999999,0.9060414264579416,0.9019810121933622,-0.003818987806637697,0.0,False
0.01,0.71,0.01,0.911782,0.911782012142347,0.9076641920209235,-0.00411780797907646,0.0,False
0.01,0.72,0.01,0.9175679999999999,0.9175679999999999,0.9133923199999999,-0.004175680000000015,0.0,False
0.01,0.73,0.01,0.9231579999999999,0.9231579999999999,0.9189264199999999,-0.0042315800000000126,0.0,False
0.01,0.74,0.01,0.928552,0.928552,0.92426648,-0.004285520000000043,0.0,False
0.01,0.75,0.01,0.93375,0.9337500000000001,0.9294125000000001,-0.004337499999999883,0.0,False
0.01,0.76,0.01,0.938752,0.938752,0.93436448,-0.004387519999999978,0.0,False
0.01,0.77,0.01,0.943558,0.943558,0.93912242,-0.0044355799999999945,0.0,False
0.01,0.78,0.01,0.948168,0.948168,0.94368632,-0.004481680000000043,0.0,False
0.01,0.79,0.01,0.952582,0.952582,0.94805618,-0.004525820000000014,0.0,False
0.01,0.8,0.01,0.9568000000000001,0.9568000000000001,0.9522320000000001,-0.0045680000000000165,0.0,False
